capture.loc,year,fish,species,julian.day,F,M
5,1990,31,coho,213,15.5,15.5
5,1990,343,coho,214,171.5,171.5
5,1990,58,coho,216,29,29
5,1990,358,coho,218,179,179
5,1990,465,coho,219,232.5,232.5
5,1990,196,coho,220,98,98
5,1990,206,coho,221,103,103
5,1990,233,coho,222,116.5,116.5
5,1990,201,coho,223,100.5,100.5
5,1990,360,coho,225,180,180
5,1990,819,coho,226,409.5,409.5
5,1990,222,coho,227,111,111
5,1990,80,coho,228,40,40
5,1990,329,coho,229,164.5,164.5
5,1990,120,coho,230,60,60
5,1991,1,coho,193,0.5,0.5
5,1991,2,coho,197,1,1
5,1991,87,coho,207,43.5,43.5
5,1991,224,coho,208,112,112
5,1991,542,coho,211,271,271
5,1991,631,coho,212,315.5,315.5
5,1991,699,coho,213,349.5,349.5
5,1991,41,coho,214,20.5,20.5
5,1991,778,coho,215,389,389
5,1991,408,coho,217,204,204
5,1991,1038,coho,218,519,519
5,1991,946,coho,219,473,473
5,1991,805,coho,220,402.5,402.5
5,1991,1754,coho,221,877,877
5,1991,408,coho,222,204,204
5,1991,242,coho,224,121,121
5,1991,373,coho,225,186.5,186.5
5,1991,386,coho,226,193,193
5,1991,131,coho,227,65.5,65.5
5,1991,776,coho,228,388,388
5,1991,474,coho,229,237,237
5,1991,93,coho,231,46.5,46.5
5,1991,527,coho,232,263.5,263.5
5,1991,248,coho,233,124,124
5,1992,4,coho,195,2,2
5,1992,23,coho,196,11.5,11.5
5,1992,6,coho,197,3,3
5,1992,55,coho,198,27.5,27.5
5,1992,42,coho,199,21,21
5,1992,111,coho,202,55.5,55.5
5,1992,191,coho,203,95.5,95.5
5,1992,250,coho,205,125,125
5,1992,141,coho,206,70.5,70.5
5,1992,134,coho,207,67,67
5,1992,494,coho,209,247,247
5,1992,516,coho,210,258,258
5,1992,20,coho,211,10,10
5,1992,623,coho,212,311.5,311.5
5,1992,757,coho,213,378.5,378.5
5,1992,2293,coho,219,1146.5,1146.5
5,1992,3006,coho,220,1503,1503
5,1992,248,coho,221,124,124
5,1992,142,coho,223,71,71
5,1992,318,coho,224,159,159
5,1992,1357,coho,225,678.5,678.5
5,1992,478,coho,226,239,239
5,1992,1248,coho,227,624,624
5,1992,367,coho,228,183.5,183.5
5,1992,1201,coho,231,600.5,600.5
5,1992,635,coho,232,317.5,317.5
5,1993,1,coho,187,0.5,0.5
5,1993,1,coho,194,0.5,0.5
5,1993,5,coho,197,2.5,2.5
5,1993,3,coho,198,1.5,1.5
5,1993,4,coho,199,2,2
5,1993,4,coho,200,2,2
5,1993,5,coho,201,2.5,2.5
5,1993,3,coho,202,1.5,1.5
5,1993,2,coho,203,1,1
5,1993,3,coho,204,1.5,1.5
5,1993,340,coho,216,170,170
5,1993,1066,coho,217,533,533
5,1993,443,coho,220,221.5,221.5
5,1993,2003,coho,221,1001.5,1001.5
5,1993,915,coho,223,457.5,457.5
5,1993,1728,coho,224,864,864
5,1993,1503,coho,225,751.5,751.5
5,1993,164,coho,227,82,82
5,1993,330,coho,228,165,165
5,1993,191,coho,234,95.5,95.5
5,1993,1207,coho,235,603.5,603.5
5,1993,1213,coho,236,606.5,606.5
5,1993,374,coho,237,187,187
5,1993,596,coho,238,298,298
5,1993,215,coho,239,107.5,107.5
5,1994,1,coho,190,0.5,0.5
5,1994,6,coho,193,3,3
5,1994,9,coho,195,4.5,4.5
5,1994,18,coho,197,9,9
5,1994,30,coho,198,15,15
5,1994,23,coho,199,11.5,11.5
5,1994,38,coho,201,19,19
5,1994,81,coho,202,40.5,40.5
5,1994,4153,coho,206,2076.5,2076.5
5,1994,6954,coho,209,3477,3477
5,1994,2713,coho,215,1356.5,1356.5
5,1994,56,coho,216,28,28
5,1994,295,coho,217,147.5,147.5
5,1994,880,coho,218,440,440
5,1994,549,coho,220,274.5,274.5
5,1994,1990,coho,227,995,995
5,1994,235,coho,231,117.5,117.5
5,1994,50,coho,232,25,25
5,1994,92,coho,234,46,46
5,1994,1124,coho,235,562,562
5,1994,179,coho,236,89.5,89.5
5,1994,125,coho,237,62.5,62.5
5,1994,280,coho,238,140,140
5,1994,289,coho,239,144.5,144.5
5,1994,240,coho,241,120,120
